user_id,item_id,rating
user_1,item_2,5
user_1,item_1,1
user_1,item_12,5
user_1,item_5,4
user_1,item_4,1
user_1,item_11,1
user_1,item_3,1
user_1,item_15,2
user_1,item_6,2
user_1,item_7,5
user_2,item_1,5
user_2,item_9,3
user_2,item_4,1
user_2,item_12,2
user_2,item_11,4
user_2,item_14,3
user_2,item_7,3
user_2,item_13,2
user_2,item_8,2
user_3,item_2,1
user_3,item_15,4
user_3,item_7,5
user_3,item_14,1
user_3,item_6,4
user_3,item_11,1
user_3,item_5,5
user_4,item_14,1
user_4,item_11,2
user_4,item_10,3
user_4,item_6,1
user_4,item_13,2
user_4,item_4,1
user_4,item_2,4
user_5,item_8,3
user_5,item_11,1
user_5,item_6,5
user_5,item_3,2
user_5,item_13,5
user_5,item_14,2
user_5,item_4,2
user_6,item_7,2
user_6,item_5,1
user_6,item_11,3
user_6,item_12,4
user_6,item_9,3
user_6,item_4,1
user_6,item_6,2
user_6,item_1,5
user_7,item_6,5
user_7,item_4,5
user_7,item_11,3
user_7,item_8,5
user_7,item_7,4
user_7,item_12,5
user_7,item_3,4
user_7,item_5,3
user_7,item_2,2
user_7,item_13,2
user_8,item_8,1
user_8,item_2,4
user_8,item_13,4
user_8,item_1,5
user_8,item_14,4
user_8,item_3,5
user_8,item_10,3
user_8,item_7,5
user_8,item_5,1
user_9,item_12,4
user_9,item_2,1
user_9,item_11,3
user_9,item_9,5
user_9,item_5,2
user_9,item_6,5
user_9,item_14,1
user_9,item_13,3
user_9,item_4,5
user_9,item_15,5
user_10,item_3,1
user_10,item_6,5
user_10,item_13,3
user_10,item_15,4
user_10,item_9,1
user_10,item_11,1
user_11,item_15,5
user_11,item_14,1
user_11,item_13,1
user_11,item_5,4
user_11,item_4,1
user_11,item_1,5
user_11,item_11,2
user_12,item_11,5
user_12,item_8,4
user_12,item_9,2
user_12,item_3,5
user_12,item_5,2
user_12,item_13,3
user_13,item_11,2
user_13,item_15,1
user_13,item_6,3
user_13,item_8,1
user_13,item_9,5
user_13,item_12,5
user_13,item_2,2
user_13,item_4,5
user_14,item_1,1
user_14,item_2,1
user_14,item_12,3
user_14,item_11,1
user_14,item_15,5
user_14,item_4,2
user_15,item_11,2
user_15,item_8,4
user_15,item_4,4
user_15,item_9,2
user_15,item_3,1
user_15,item_10,1
user_15,item_14,4
user_16,item_7,4
user_16,item_15,3
user_16,item_8,1
user_16,item_12,2
user_16,item_1,2
user_16,item_2,2
user_16,item_11,5
user_17,item_3,5
user_17,item_7,1
user_17,item_15,1
user_17,item_5,5
user_17,item_8,1
user_17,item_4,1
user_17,item_2,2
user_17,item_11,2
user_18,item_8,4
user_18,item_15,3
user_18,item_4,4
user_18,item_7,3
user_18,item_1,4
user_18,item_3,5
user_18,item_12,4
user_18,item_11,2
user_19,item_5,3
user_19,item_4,1
user_19,item_1,1
user_19,item_10,5
user_19,item_9,4
user_19,item_13,5
user_20,item_3,1
user_20,item_1,5
user_20,item_9,2
user_20,item_2,5
user_20,item_15,5
user_20,item_12,1
user_20,item_10,5
user_20,item_4,1
user_20,item_8,4
